Baltimore,Orioles,MD,Oriole Park at Camden Yards,45971,American,East
Boston,Red Sox,MA,Fenway Park,37949,American,East
New York,Yankees,NY,Yankee Stadium,49638,American,East
Tampa Bay,Rays,FL,Tropicana Field,31042,American,East
Toronto,Blue Jays,ON,Rogers Centre,49282,American,East
Chicago,White Sox,IL,Guaranteed Rate Field,40615,American,Central
Cleveland,Indians,OH,Progressive Field,35225,American,Central
Detroit,Tigers,MI,Comerica Park,41297,American,Central
Kansas City,Royals,MO,Kauffman Stadium,37903,American,Central
Minnesota,Twins,MN,Target Field,38871,American,Central
Houston,Astros,TX,Minute Maid Park,41676,American,West
Los Angeles,Angels,CA,Angel Stadium,45957,American,West
Oakland,Athletics,CA,Oakland–Alameda County Coliseum,35067,American,West
Seattle,Mariners,WA,Safeco Field,47943,American,West
Texas,Rangers,TX,Globe Life Park in Arlington,48114,American,West
Atlanta,Braves,GA,SunTrust Park,41500,National,East
Miami,Marlins,FL,Marlins Park,36742,National,East
New York,Mets,NY,Citi Field,41922,National,East
Philadelphia,Phillies,PA,Citizens Bank Park,43651,National,East
Washington,Nationals,D.C.,Nationals Park,41313,National,East
Chicago,Cubs,IL,Wrigley Field,41268,National,Central
Cincinnati,Reds,OH,Great American Ball Park,42319,National,Central
Milwaukee,Brewers,WI,Miller Park,41900,National,Central
Pittsburgh,Pirates,PA,PNC Park,38362,National,Central
St. Louis,Cardinals,MO,Busch Stadium,43975,National,Central
Arizona,Diamondbacks,AZ,Chase Field,48519,National,West
Colorado,Rockies,CO,Coors Field,50398,National,West
Los Angeles,Dodgers,CA,Dodger Stadium,56000,National,West
San Diego,Padres,CA,Petco Park,40162,National,West
San Francisco,Giants,CA,AT&T Park,41915,National,West
